fname,fadd,flat,flng,furl,fimg,fcat,floc
신미경정통춘천닭갈비,서울 서초구 방배로16길 11-3,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/20770023?c=14136232.5727839,4506883.3883492,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160119_102%2F1453172503575AF65y_JPEG%2F176069523162303_0.jpeg,닭갈비,방배
10월 19일,서울 서초구 반포대로3길 31 101호,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1237242418?c=14137823.0722725,4506392.3413785,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200929_20%2F1601364065608wWDb0_JPEG%2FHeZV43QcDcSz9bOuIx7xyMCY.jpeg.jpg,"카페,디저트",방배
푸슈,서울 서초구 서초대로19길 10-11 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1129429683?c=14135730.2101858,4507327.6847583,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210929_21%2F1632924437934Mmlkr_JPEG%2F20210926_203021.jpg,브런치,방배
댓짱돈까스 본점,서울 서초구 방배로6길 13 배영빌딩 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/13574234?c=14136647.5050539,4506106.8337572,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181113_80%2F1542091310056i3l7V_JPEG%2F3g2b0a0563U75FFU7925AIql.jpg,돈가스,방배
송강,서울 서초구 명달로9길 5 정호빌딩1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1498531928?c=14137141.6745374,4506497.1730093,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190726_188%2F1564118291588pVlby_JPEG%2FZ3o8w1u7YBePCcBgdsFlRYlq.jpg,"장어,먹장어요리",방배
노스티모,서울 서초구 서초대로 125 2층 201호,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1259445765?c=14136189.7370438,4507437.9831730,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200824_298%2F1598252759423AtfFR_JPEG%2FjVeZvV-F45exqaWLjKRnGrpu.jpeg.jpg,그리스음식,방배
BREEZE BURGER,서울 서초구 방배로19길 14 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1877123727?c=14135996.9984774,4506966.1436164,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220531_24%2F16539859816577XyoY_JPEG%2FIMG_20220520_225305_003.jpg,햄버거,방배
만다린,서울 서초구 방배로6길 10-15 1층?2층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/18219589?c=14136710.3671703,4506003.7734902,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190207_230%2F1549524336155XLchY_JPEG%2FpW-uPF8ilodlpOXwQGVCTqul.jpg,중식당,방배
담,서울 서초구 남부순환로 2406 예술의전당 서예박물관 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/37942949?c=14137994.0256145,4506001.4028494,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200205_236%2F1580896169581fUGIn_JPEG%2FIMG_5685.,한정식,방배
프리퍼,서울 서초구 반포대로5길 4 성원빌딩 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/725374144?c=14137994.0256145,4506001.4028494,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191125_273%2F1574667636952SVM1N_JPEG%2FJ6wiEd72V8OkXYKJgebJKfJ_.jpg,"카페,디저트",방배
블루엣,서울 서초구 서초대로19길 10-19 창유빌 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1955613686?c=14135775.4949547,4507351.5204532,15,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EB%25A7%259B%25EC%25A7%2591",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220811_186%2F1660222887064aCQJL_PNG%2FIMG_2405.,브런치,방배
오늘와인한잔 방배점,서울 서초구 효령로31길 23,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1659936438?c=14136201.5814376,4506538.5700788,15,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EB%25A7%259B%25EC%25A7%2591",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190131_100%2F1548927212607myFFo_JPEG%2F-1zLLbkivhpDwKMuUAXwUS_C.jpg,와인,방배
홍미단,서울 서초구 효령로31길 94,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1848858855?c=14136032.5984506,4506936.9077430,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191018_142%2F1571383603477I3Jjo_JPEG%2FMBuK8G-3Ss9uyn9QybO817fz.jpg,종합분식,방배
선화의고기 방배본점,서울 서초구 서초대로24길 9,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1710690994?c=14135900.1950483,4507203.0918757,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220404_101%2F1649013249534qXUmq_PNG%2FKakaoTalk_20220329_084647442.png,소고기구이,방배
그림나베,서울 서초구 서초중앙로 42 블루핀타워 112호 113호,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1520599065?c=14138459.4746694,4507067.5298802,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180129_175%2F1517218442780ThaT4_JPEG%2F3-QRsd6Za0auu5Tx9-_XNqW_.jpg,샤브샤브,방배
감격시대,서울 서초구 서초대로50길 104 코랜드빌딩,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/37128226?c=14138174.1405506,4507430.9965434,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220729_134%2F1659084183974O9EkJ_JPEG%2FKakaoTalk_Moim_6RgVVzrVewZ5xzruGdX9VK4Bgzmkb7.jpg,"육류,고기요리",방배
토다 서초,서울 서초구 반포대로14길 26 드림타워 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1572471388?c=14138032.9095126,4506984.3810068,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191225_93%2F1577240212263hp5SL_JPEG%2FUSlweByoFfvvRJn0cP7PB1Al.jpg,베이글,방배
조개창고 방배점,서울 서초구 방배로 147 3층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/37812102?c=14135958.6934407,4507184.7138143,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210903_177%2F1630653215540mljJz_JPEG%2FN67T3KInN3JJ8yMj9h3TPSA0.jpg,조개요리,방배
제주은희네해장국 예술의전당점,서울 서초구 반포대로12길 14 성암빌딩 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1311270650?c=14137995.6620110,4506890.8515877,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180423_190%2F1524465534589ta6WJ_JPEG%2F1ZEVngv8PwjkmKDX3S4F6lfa.jpg,해장국,방배
호왕,서울 서초구 서초대로 91 1층 호왕,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/36298567?c=14135779.0237825,4507286.3547177,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210510_164%2F1620621584620LXdaT_JPEG%2Fs5qFVZwDZOXX-SbSYLgDXAwI.jpg,소고기구이,방배
에쌍스,서울 서초구 반포대로4길 12 석탑빌딩 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1156981279?c=14138133.5089365,4506483.6919929,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220325_47%2F1648194064586bxz5T_PNG%2F1647952309730.png,프랑스음식,방배
Da Pitta,서울 서초구 효령로 202 서초빌딩,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/31462539?c=14137356.0870086,4506631.8017599,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_66%2F1440996656017cR6bE_PNG%2FSUBMIT_1357371307659_31462539.png,이탈리아음식,방배
하오차이,서울 서초구 효령로 260,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/12076191?c=14138052.9915488,4506800.3251078,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160121_17%2F14533454463346c1iD_JPEG%2F176071523424311_0.jpg,중식당,방배
라칼라스,서울 서초구 반포대로 8 삼흥빌딩 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/11679521?c=14138092.1648776,4506437.2871280,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160108_1%2F14522344163221CJbz_JPEG%2F176058555675717_0.jpg,이탈리아음식,방배
어보브 더 힐,서울 서초구 방배중앙로13길 2 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1015466438?c=14135428.8905881,4507218.7763841,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220625_48%2F1656128576726AGwHh_JPEG%2FB1551BEC-7792-4CB4-A7DE-33213A6C5802.jpeg,베이커리,방배
까르니브라질그릴,서울 서초구 방배로 83-9 5층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1163576582?c=14136271.5680015,4506513.8805159,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190718_30%2F15634219108193yIb2_JPEG%2FnkcjNaAWy0tmJSIGT3ivCKur.jpeg.jpg,양식,방배
디토,서울 서초구 명달로 94,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1216994650?c=14137114.6016372,4507038.6163874,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180330_111%2F1522398353888P3M1S_JPEG%2F7Sqwn84Uj2qoE92WORVXxgi1.jpg,이탈리아음식,방배
모짜르트502,서울 서초구 남부순환로 2406 (예술의전당 내),,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/21048452?c=14137838.3898344,4506020.1154957,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",NULL,카페,방배
일도씨닭갈비 방배점,서울 서초구 방배로8길 4,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/34573305?c=14136542.0854961,4506190.8033043,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200319_172%2F1584581981661Upejj_PNG%2FCVPlvGZLVM6yhPQHghxQxAvF.png,일도씨닭갈비,방배
르떵하피네,서울 서초구 반포대로9길 70 1F,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1224497235?c=14137531.2036996,4506631.5352222,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220320_14%2F1647746472197sVEtq_JPEG%2F757D8BA9-A601-4E9B-B000-1FD2748D1899.jpeg,"카페,디저트",방배
홍천한우,서울 서초구 효령로55길 47,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/36413890?c=14138203.1615418,4507197.7187445,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_59%2F1441070348020XfusE_JPEG%2F166363406634123_0.jpg,소고기구이,방배
일미옥,서울 서초구 서초대로19길 10-21 어반럭스빌딩,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/18227426?c=14135795.6549144,4507360.1203965,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190808_299%2F1565219596733sVPPU_JPEG%2FrH6Nq9BWnu5k5-QmjogiFd_-.jpeg.jpg,"육류,고기요리",방배
비비스,서울 서초구 효령로27길 19 1층,,,"https://map.naver.com/v5/search/%EB%B9%84%EB%B9%84%EC%8A%A4/place/1929750920?c=14136553.6627231,4506464.1648905,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210505_71%2F1620181240386oer9A_JPEG%2FZnWfy3PIrkqnq_bUoEQC4z9L.jpg,브런치,방배
우작설렁탕,서울 서초구 서초중앙로6길 7 홍빌딩,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/19867568?c=14138437.9566118,4507090.5092195,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190611_212%2F1560225124273JIO3S_JPEG%2F4xBx0RZiVJqjI7Wacm8Cnt_p.jpg,"곰탕,설렁탕",방배
에머이 남부터미널점,"서울 서초구 서초중앙로 26 102, 202호",,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/294684219?c=14138507.5201616,4506902.6917740,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170626_118%2F1498461129672jWD1f_JPEG%2F186575525645290_0.jpeg,베트남음식,방배
훈우영,서울 서초구 반포대로13길 33 1층 101호,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1551916644?c=14137664.9318039,4506848.6675256,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210503_45%2F1620034649694gtY2v_JPEG%2FfYHOuTSqMupfyaAamVRQ9Kiu.jpeg.jpg,일식당,방배
함포해장,서울 서초구 효령로34길 7,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1051995335?c=14137042.0658570,4506404.3773937,16,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201108_88%2F1604808013300Awh2z_JPEG%2FpneDIT97HXBB_CwS747XoeHq.jpg,한식,방배
카츠공방 남부터미널점,서울 서초구 효령로52길 1 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1938680026?c=14138070.9919104,4506805.5016358,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210401_182%2F1617258181155IgHVH_JPEG%2Fjyky9PvG_YrdRgUHFp2YmsC9.jpg,돈가스,방배
냅다청양집 상암직영점,서울 마포구 월드컵북로48길 30 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1486461844?c=14124983.0703223,4519867.4190580,15,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EB%25A7%259B%25EC%25A7%2591",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200813_216%2F1597300765040mxc6c_JPEG%2Ftov3G-g1TEkmf6C7rhYI4tXO.jpg,돼지고기구이,상암
추돈가 본점,서울 마포구 성암로 211-8 1층 추돈가,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1680634748?c=14125051.6987883,4520021.6036525,15,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%25EB%25A7%259B%25EC%25A7%2591",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220529_75%2F1653806953949IpcvT_JPEG%2FC13E27DB-30DC-46B7-BD96-ACBF26D1BFB6.jpeg,돼지고기구이,상암
샤오바오 상암점,서울 마포구 월드컵북로54길 25 DMC푸르지오시티 1층 107호,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1563443941?c=14124326.7751323,4520486.1938252,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220717_258%2F1658067772230WcS2t_JPEG%2FTAE_0547.jpg,중식당,상암
상암회관,서울 마포구 월드컵북로54길 17 1층 상암회관,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1384736514?c=14124244.6770079,4520478.2573421,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190620_240%2F1561016428058usyPp_JPEG%2FF6NkMH8cbUQNS_SvB1nWw-XC.jpeg.jpg,국수,상암
온돈부리 상암,서울 마포구 월드컵북로54길 25 상암 푸르지오 시티 218호,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/38491059?c=14124346.5009461,4520515.9592022,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220803_148%2F1659507011218lKWMs_JPEG%2FKakaoTalk_20220803_150857341.jpg,일식당,상암
목로,서울 마포구 매봉산로2길 25 지1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1600209622?c=14124989.0927067,4520000.1409983,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210714_246%2F1626240777336UUjaH_PNG%2FuId-SJRhf-kih1c4ezmWQLci.png,"육류,고기요리",상암
렌위치 상암DMC점,서울 마포구 월드컵북로54길 12 1층,,,"https://map.naver.com/v5/search/%EB%A7%9B%EC%A7%91/place/1252596294?c=14124323.0681933,4520382.6267060,15,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220718_289%2F16581097107314SgfX_JPEG%2FKakaoTalk_20220717_164445217.jpg,샌드위치,상암
